,p,d,q,P,D,Q,s,rmse,aic,bic
0,0,0,1,0,0,1,12,0.6356919965334333,60.34,70.23
1,0,0,1,0,1,1,12,0.6355388885453742,115.27,124.98
2,0,0,1,0,2,1,12,0.9206339763517225,177.41,186.92
3,0,0,1,1,0,1,12,0.6374508014398903,62.24,75.43
4,0,0,1,1,1,1,12,0.669231601510518,95.77,108.71
5,0,0,1,1,2,1,12,0.9019101661606639,176.35,189.03
6,0,0,1,2,0,1,12,0.6643701326274971,21.19,37.68
7,0,0,1,2,1,1,12,0.6425658437089022,91.62,107.8
8,0,0,1,2,2,1,12,0.8692695163175328,176.77,192.63
9,0,1,1,0,0,1,12,0.8115362827214028,-170.25,-160.37
10,0,1,1,0,1,1,12,0.8524151721941503,-116.6,-106.91
11,0,1,1,0,2,1,12,0.7878900583993904,42.68,52.17
12,0,1,1,1,0,1,12,0.7705438946530884,-168.77,-155.6
13,0,1,1,1,1,1,12,0.8579469279656381,-116.75,-103.83
14,0,1,1,1,2,1,12,1.0864178772811988,-6.95,5.71
15,0,1,1,2,0,1,12,0.8121022193228851,-166.27,-149.81
16,0,1,1,2,1,1,12,0.8502144018784908,-114.84,-98.68
17,0,1,1,2,2,1,12,1.1640741161351793,-22.2,-6.38
18,0,2,1,0,0,1,12,0.836315080562704,-162.81,-152.95
19,0,2,1,0,1,1,12,0.9950579175686106,-106.46,-96.79
20,0,2,1,0,2,1,12,0.736637730568887,52.63,62.11
21,0,2,1,1,0,1,12,0.7958220780421466,-161.08,-147.93
22,0,2,1,1,1,1,12,1.007637655580193,-106.53,-93.63
23,0,2,1,1,2,1,12,1.1965175034991369,3.33,15.96
24,0,2,1,2,0,1,12,0.8356009979498746,-158.85,-142.41
25,0,2,1,2,1,1,12,1.0044701073720959,-104.6,-88.47
26,0,2,1,2,2,1,12,1.3638409929090107,-11.54,4.26
27,1,0,1,0,0,1,12,0.6627693930536289,-172.04,-158.85
28,1,0,1,0,1,1,12,0.7011302589919016,-120.09,-107.14
29,1,0,1,0,2,1,12,0.8695939811258443,36.05,48.73
30,1,0,1,1,0,1,12,0.6516309316507735,-171.08,-154.59
31,1,0,1,1,1,1,12,0.702185898104375,-119.91,-103.72
32,1,0,1,1,2,1,12,0.9599770487106285,-11.06,4.79
33,1,0,1,2,0,1,12,0.6552209382576593,-169.38,-149.59
34,1,0,1,2,1,1,12,0.6979586101180675,-117.98,-98.56
35,1,0,1,2,2,1,12,0.9961144511335535,-25.49,-6.46
36,1,1,1,0,0,1,12,0.8115351744805487,-168.25,-155.07
37,1,1,1,0,1,1,12,0.851820380141764,-114.56,-101.64
38,1,1,1,0,2,1,12,0.7867502213679363,44.47,57.13
39,1,1,1,1,0,1,12,0.7712563580241065,-167.21,-150.74
40,1,1,1,1,1,1,12,0.8577043289954839,-114.73,-98.57
41,1,1,1,1,2,1,12,1.088085290416882,-5.06,10.77
42,1,1,1,2,0,1,12,0.7874562623478533,-165.52,-145.76
43,1,1,1,2,1,1,12,0.8498922459205048,-112.81,-93.42
44,1,1,1,2,2,1,12,1.1638394968641834,-20.21,-1.22
45,1,2,1,0,0,1,12,0.8360390236128932,-160.82,-147.66
46,1,2,1,0,1,1,12,0.9964916132102496,-104.52,-91.61
47,1,2,1,0,2,1,12,0.7337860537103985,53.95,66.58
48,1,2,1,1,0,1,12,0.7964655641797085,-159.07,-142.63
49,1,2,1,1,1,1,12,1.0079827785828193,-104.55,-88.42
50,1,2,1,1,2,1,12,1.2003266500060097,5.3,21.09
51,1,2,1,2,0,1,12,0.8360695307464144,-156.85,-137.12
52,1,2,1,2,1,1,12,1.0051896120191788,-102.6,-83.25
53,1,2,1,2,2,1,12,1.3631367467820312,-9.55,9.41
54,2,0,1,0,0,1,12,0.6641878754744667,-170.91,-154.42
55,2,0,1,0,1,1,12,0.6981255846111154,-118.84,-102.66
56,2,0,1,0,2,1,12,0.8699482885895651,37.74,53.59
57,2,0,1,1,0,1,12,0.6576469557147006,-169.49,-149.7
58,2,0,1,1,1,1,12,0.8369808920281521,-114.82,-95.4
59,2,0,1,1,2,1,12,1.0700497873459016,-7.66,11.36
60,2,0,1,2,0,1,12,0.6561840681471929,-168.27,-145.18
61,2,0,1,2,1,1,12,0.6992858453117974,-116.38,-93.72
